No,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Source Lab,Explanation
1,What HTTP status code does FastAPI return by default when a client's request body fails Pydantic validation?,422 Unprocessable Entity,400 Bad Request,404 Not Found,500 Internal Server Error,A,Easy,Lab 1 - Pydantic Validation,FastAPI validates the request body against the declared schema and returns 422 Unprocessable Entity on failure.
2,An AI service validates the LLM's reply against a Pydantic model before returning it to the caller. What is the main reason for this outbound validation?,To prevent an LLM response from exceeding the model's maximum token limit in a single turn.,To guarantee the request schema and the response schema are exactly identical in shape.,To catch occasional malformed or empty LLM output before it corrupts downstream consumers.,To strip personally identifiable information from the reply before it leaves the service.,C,Medium,Lab 1 - Pydantic Validation,LLMs are non-deterministic and may violate schemas; outbound validation protects downstream systems from corrupt data.
3,When should a path operation be declared with plain `def` instead of `async def` in FastAPI?,When it needs to call an async client library and `await` its results directly instead of blocking on the result.,When it does CPU-bound work that would block the event loop and is faster in a threadpool.,When it must stream a large file or a response body back to the client in many chunks.,"When its inputs come from `Path`, `Query`, and request-body parameters in the signature.",B,Easy,"Lab 2 - File Upload, Async, Await","CPU-bound code never awaits, so inside an `async def` handler it would hold the event loop hostage; declaring the handler with plain `def` tells FastAPI to run it in a threadpool, leaving the event loop free for other requests."
4,"Inside an `async def` endpoint, why does `await` in a sequential loop NOT produce concurrency, while `asyncio.gather()` does?","Because `await` blocks the entire event loop until the awaited call returns, stalling other requests.",Because `gather()` parallelizes calls by spawning extra worker threads under the hood.,Sequential awaits add their times up; `gather()` overlaps them so the total is about the slowest.,"Because `gather()` creates a separate event loop for each call, letting the calls truly run in parallel.",C,Medium,"Lab 2 - File Upload, Async, Await","Sequential awaits sum the times; `gather()` starts all awaits before waiting, so total time is roughly the slowest call."
5,What is the key difference between a local `try/except` block and an `@app.exception_handler(ExceptionType)`?,A local `try/except` catches only errors inside its block; an app-level handler catches the type app-wide.,"A local `try/except` block always runs on a separate thread, away from the event loop.","`@app.exception_handler` can only handle exceptions shipped in Python's standard library, never exceptions you define in your own project.",They behave identically; the decorator is syntactic sugar over a `try/except`.,A,Medium,Lab 3 - Exception Handling,A `try/except` only catches within its block; an app-level handler catches the type anywhere in the lifecycle.
6,You register `@app.exception_handler(MyError)` and also wrap the endpoint body in `try/except MyError`. An exception `MyError` is raised inside the endpoint. Which handler responds to the client?,The local `except` catches it first; the handler only fires if the exception escapes the block.,"The `@app.exception_handler` always runs instead of the local clause, so the local one never fires.",The registered handler runs first; the local `except` only acts after the handler returns control.,The request fails with a 500 because the two handlers conflict over the same exception.,A,Intense,Lab 3 - Exception Handling,A local `except` runs first if it matches; the app-level handler fires only when the exception propagates past local handling.
7,What does FastAPI inject when an endpoint parameter is declared with `Depends(get_client)`?,"The `get_client` function object itself, passed to the endpoint by reference.",A brand-new client object that is constructed afresh on every single request.,"The HTTP `Request` object belonging to the current call, including its headers and path.","The return value of `get_client()`, resolved by FastAPI before the endpoint runs.",D,Easy,Lab 4 - Dependency Injection,FastAPI resolves the dependency before the endpoint runs and injects its return value as the parameter.
8,"In a yield-dependency structured as `try: yield history` / `finally: print(""done"")`, when does the `finally` block run?","After the endpoint finishes, whether it succeeded or raised an exception.","Immediately after the `yield`, before the endpoint body ever runs.",Only when the endpoint raises an unhandled exception and the request fails.,Only on those requests that complete successfully without any error.,A,Medium,Lab 4 - Dependency Injection,"The `finally` block runs after the endpoint completes, success or failure - the guarantee yield-dependencies provide."
9,"What does `OAuth2PasswordBearer(tokenUrl=""/token"")` actually do when used as a dependency on a protected route?",Verifies the token's cryptographic signature and its expiry against the JWT secret.,"Extracts the raw bearer token from the Authorization header, rejecting a missing header.",Looks up the user's account in the database to confirm that it exists and is active.,Decodes the bearer token into its individual JWT claims for the endpoint to consume.,B,Easy,Lab 5 - Security in FastAPI,OAuth2PasswordBearer only extracts the token (and rejects a missing header); verification is the decode dependency's job.
10,A route must reject a request carrying an invalid JWT with 401 before the endpoint logic runs. What is the FastAPI-native mechanism for this?,"A middleware that decodes the token before routing, so invalid tokens never reach the handler.",Declaring the OAuth2 security scheme inside the app's OpenAPI schema so that clients know exactly how to authenticate.,A catch-all exception handler registered at app level that turns every token error into a 401.,An endpoint dependency like `Depends(get_current_user)` that runs first and raises 401 on an invalid token.,D,Medium,Lab 5 - Security in FastAPI,"In FastAPI, per-route authentication is just a dependency: `Depends(get_current_user)` runs before the endpoint, and the 401 it raises blocks the handler entirely, so no endpoint logic runs with an invalid token."
